週,企業ID,業界,区分,フェーズ,現金残高,時価総額,売上,支出,収支,現状シェア,シェア目標,生産目標,生産数,生産キャパ,販売目標,販売数,販売キャパ,事業部施設要求,事業部施設キャパ,人事要求値,人事キャパ,共通施設要求,共通施設キャパ,生産人員,営業人員,開発人員,人事人員,広報人員,経理人員,店舗人員
2,23,automotive,npc_maker,STABLE,2783778470,1028580000,255247200,47421530,207825670,0.1111111111111111,0.12222222222222223,142,5,816.2028009628973,0,78,0.0,525,44,373,1197.5999053596775,718,162,3,2,2,3,2,2,0
2,24,automotive,npc_retail,GROWTH,2984773854,1028580000,147374588,83663788,63710800,0.030889103182256506,0.3890772850292862,0,0,0.0,403,43,39.093636374493926,25,44,373,1169.2115173353245,7604,62,0,5,0,3,2,2,2
2,25,automotive,npc_retail,GROWTH,2985204623,1028580000,143965411,86836283,57129128,0.030889103182256506,0.3890772850292862,0,0,0.0,403,41,40.057195264384674,25,44,373,1198.02961296856,7604,62,0,5,0,3,2,2,2
2,26,automotive,npc_retail,GROWTH,2985241545,1028580000,150590809,87636283,62954526,0.030889103182256506,0.3890772850292862,0,0,0.0,403,43,39.18703289917892,25,44,346,1172.0048183036638,7604,62,0,4,0,3,2,2,2
2,27,pc,npc_maker,STABLE,2778560008,1028580000,28142640,21439992,6702648,0.125,0.1375,1220,80,793.1776158358842,0,86,0.0,244,44,400,1185.2079317087923,3654,162,2,4,2,3,2,2,0
2,28,pc,npc_maker,STABLE,2778793854,1028580000,24870240,21821530,3048710,0.125,0.1375,1220,80,796.8805275648037,0,76,0.0,244,44,373,1190.7410182002811,3654,162,2,3,2,3,2,2,0
2,29,pc,npc_maker,STABLE,2778473854,1028580000,27488160,21526146,5962014,0.125,0.1375,1220,80,792.4552272285921,0,84,0.0,244,44,400,1184.1285004565166,3654,162,2,4,2,3,2,2,0
2,30,pc,npc_maker,STABLE,2778510778,1028580000,26506440,21489222,5017218,0.125,0.1375,1220,80,776.8193699404912,0,81,0.0,244,44,400,1160.7645757731477,3654,162,2,4,2,3,2,2,0
2,31,pc,npc_maker,STABLE,2778732316,1028580000,26179200,22252298,3926902,0.125,0.1375,1220,80,802.363452934057,0,80,0.0,244,44,373,1198.9338951888205,3654,162,2,3,2,3,2,2,0
2,32,pc,npc_maker,STABLE,2778240009,1028580000,26833680,22695374,4138306,0.125,0.1375,1220,80,773.7763632414188,0,82,0.0,244,44,426,1156.2175542687864,3654,162,2,5,2,3,2,2,0
2,33,pc,npc_maker,STABLE,2778510778,1028580000,27815400,22067683,5747717,0.125,0.1375,1220,80,795.9920310549646,0,85,0.0,244,44,400,1189.4133797373033,3654,162,2,4,2,3,2,2,0
2,34,pc,npc_maker,STABLE,2778904623,1028580000,24870240,22052299,2817941,0.125,0.1375,1220,81,796.3419339722293,0,76,0.0,244,44,373,1189.9362231768941,3654,162,2,3,2,3,2,2,0
2,35,pc,npc_retail,GROWTH,2877955391,1028580000,748984460,778455707,-29471247,0.03057071960297766,0.3890772850292861,0,0,0.0,2038,217,200.81599999999997,25,44,293,1201.1999999999998,39241,62,0,2,0,3,2,2,2
2,36,pc,npc_retail,GROWTH,2877032315,1028580000,758874333,839049010,-80174677,0.03057071960297766,0.3890772850292861,0,0,0.0,2038,216,196.94046469923833,25,44,346,1178.018117065996,39241,62,0,4,0,3,2,2,2
2,37,pc,npc_retail,GROWTH,2877536930,1028580000,744675082,777418236,-32743154,0.03057071960297766,0.3890772850292861,0,0,0.0,2038,213,199.9704990943883,25,44,320,1196.1425559326908,39241,62,0,3,0,3,2,2,2
3,16,automotive,npc_maker,GROWTH,2869118017,1075392000,78357975,50981524,27376451,0.28527131782945736,0.3708527131782946,674,8,877.9233228091715,0,25,0.0,2496,144,426,1156.3057632184539,2378,162,5,2,2,3,2,2,0
3,17,automotive,npc_maker,GROWTH,2856351189,1075320000,96121834,52547679,43574155,0.25426356589147286,0.33054263565891473,638,11,937.2738100981468,0,29,0.0,2362,144,506,1140.2505815286083,2265,162,8,2,2,3,2,2,0
3,18,automotive,npc_maker,GROWTH,2854742789,1075320000,97516647,50166140,47350507,0.25426356589147286,0.33054263565891473,630,10,964.2888548316532,0,31,0.0,2333,144,453,1192.3424924164938,2240,162,6,2,2,3,2,2,0
3,19,automotive,npc_maker,GROWTH,2852273770,1075320000,102705697,46015375,56690322,0.26046511627906976,0.3386046511627907,621,8,843.8690826571988,0,31,0.0,2300,144,453,1120.0049189654303,2212,162,6,2,2,3,2,2,0
3,20,automotive,npc_maker,GROWTH,2856212017,1075320000,102961385,45193835,57767550,0.25426356589147286,0.33054263565891473,630,6,854.8379565909723,0,31,0.0,2333,144,373,1186.6138245118912,2240,162,3,2,2,3,2,2,0
3,21,automotive,npc_maker,GROWTH,2851024234,1075320000,99739026,50784604,48954422,0.24806201550387597,0.32248062015503876,620,11,986.9902572047297,0,32,0.0,2296,144,480,1180.0702742214241,2209,162,7,2,2,3,2,2,0
3,22,automotive,npc_maker,GROWTH,2864968604,1075248000,92745016,53215368,39529648,0.27286821705426356,0.35472868217054265,657,9,878.1913585666808,0,28,0.0,2433,144,453,1144.1047049977851,2325,162,6,2,2,3,2,2,0
3,23,automotive,npc_maker,GROWTH,2852415217,1075248000,102964423,43375373,59589050,0.26046511627906976,0.3386046511627907,613,5,818.4828068723508,0,31,0.0,2270,144,373,1193.587240096426,2187,162,3,2,2,3,2,2,0
3,24,automotive,npc_retail,GROWTH,2899245962,1063800000,147974305,174178989,-26204684,0.03235519677093844,0.41412575058691986,0,0,0.0,410,41,42.31644442971007,25,44,773,1168.882899389427,7847,162,0,20,0,3,2,2,2
3,25,automotive,npc_retail,GROWTH,2893073520,1063728000,150365120,168587789,-18222669,0.03235519677093844,0.41412575058691986,0,0,0.0,410,42,40.15525859624912,25,44,613,1109.185701357317,7836,162,0,14,0,3,2,2,2
3,26,automotive,npc_retail,GROWTH,2898933994,1063728000,153236309,160784931,-7548622,0.03235519677093844,0.41412575058691986,0,0,0.0,410,42,41.17844672088306,25,44,640,1137.44864069121,7842,162,0,15,0,3,2,2,2
3,27,pc,npc_maker,GROWTH,2646334656,1075536000,8235474,22473837,-14238363,0.27076923076923076,0.352,3250,80,783.1914303745665,0,26,0.0,650,44,400,1165.8193047560342,9277,162,2,4,2,3,2,2,0
3,28,pc,npc_maker,GROWTH,2642902872,1075536000,11405046,24009220,-12604174,0.25846153846153846,0.336,2842,81,798.1752568636517,0,37,0.0,568,44,400,1188.1234739573442,8147,162,2,4,2,3,2,2,0
3,29,pc,npc_maker,GROWTH,2645512176,1075536000,8556813,22790761,-14233948,0.25846153846153846,0.336,3168,81,802.9538766067172,0,27,0.0,633,44,400,1195.2366865519837,9050,162,2,4,2,3,2,2,0
3,30,pc,npc_maker,GROWTH,2644602458,1075536000,10440309,21489222,-11048913,0.25846153846153846,0.336,3046,80,800.9051112559737,0,33,0.0,609,44,400,1192.1869976711057,8712,162,2,4,2,3,2,2,0
3,31,pc,npc_maker,GROWTH,2643722603,1075536000,8648724,23938451,-15289727,0.26461538461538464,0.34400000000000003,3005,80,801.8004297509951,0,28,0.0,601,44,426,1193.5197236751455,8598,162,2,5,2,3,2,2,0
3,32,pc,npc_maker,GROWTH,2643466315,1075608000,7489201,24873834,-17384633,0.26461538461538464,0.34400000000000003,3087,80,781.0103433370467,0,25,0.0,617,44,480,1162.57264847881,8825,162,2,7,2,3,2,2,0
3,33,pc,npc_maker,GROWTH,2645332957,1075536000,8241350,23999989,-15758639,0.26461538461538464,0.34400000000000003,3209,80,781.246300313248,0,26,0.0,641,44,426,1162.9238821456743,9163,162,2,5,2,3,2,2,0
