週,企業ID,企業名,フェーズ,売上高,費用計,収支,現金残高,借入残高,在庫数,B2B販売数,B2C販売数,生産指示数,生産完了数,開発指示数,開発完了数,採用数,施設規模,人件費,施設費
11,11,ファミリーアベニュー,GROWTH,457445461,488155379,-30709918,1663155722,0,713,0,137,0,0,0,0,2,1085,39618429,28340000
11,12,カーショップディーラー,GROWTH,654115703,901511569,-247395866,1198269515,0,892,0,197,0,0,0,0,1,1080,28996896,30340000
12,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
12,2,Galaxy Motors,GROWTH,0,156541505,-156541505,1666004970,0,104,0,0,46,46,0,0,0,1740,38141505,27200000
12,3,Jupiter Group,GROWTH,223881480,132215356,91666124,1784692562,0,106,72,0,34,34,0,0,0,1210,39655356,18760000
12,4,Prime Cars,GROWTH,621078731,203487763,417590968,5430034044,0,170,221,0,151,151,0,0,2,7340,136036822,114720000
12,5,Eco Automotive,STABLE,0,72421518,-72421518,1352866051,0,110,0,0,0,0,0,0,2,1310,23901518,20520000
12,6,Galaxy Mobility,GROWTH,348559908,215719954,132839954,2065487001,0,91,124,0,66,66,0,0,5,2450,60319954,38200000
12,7,Omega Ltd.,GROWTH,0,67572113,-67572113,1926609313,0,175,0,0,50,50,0,0,1,2010,42719969,31640000
12,8,Horizon Corporation,GROWTH,0,164785684,-164785684,2360676922,0,245,0,0,96,96,0,0,1,3780,81009162,58880000
12,9,Future Motors,GROWTH,627527550,169832921,457694629,3969592835,0,133,205,0,107,107,0,0,5,4870,110658376,75880000
12,10,モータースショップ,GROWTH,784527114,162754425,621772689,1828134448,0,744,0,234,0,0,0,0,3,1080,39286125,31635000
12,11,ファミリーアベニュー,GROWTH,638556424,1379729362,-741172938,921982784,0,961,0,190,0,0,0,0,3,1085,36258430,28340000
12,12,カーショップディーラー,GROWTH,700052457,502112645,197939812,1396209327,0,835,0,211,0,0,0,0,0,1080,24689208,30340000
13,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
13,2,Galaxy Motors,GROWTH,176884108,127738434,49145674,1715150644,0,77,58,0,31,31,0,0,3,1740,30338434,27200000
13,3,Jupiter Group,GROWTH,40372345,88147667,-47775322,1736917240,0,93,13,0,0,0,0,0,0,1210,34387667,18760000
13,4,Prime Cars,GROWTH,2799351,161285904,-158486553,4728544087,0,296,1,0,127,127,0,0,5,7340,115667606,114720000
13,5,Eco Automotive,STABLE,0,66092292,-66092292,1286773759,0,110,0,0,0,0,0,0,0,1310,18572292,20520000
13,6,Galaxy Mobility,GROWTH,0,84073306,-84073306,1774864995,0,139,0,0,48,48,0,0,1,2450,50547656,38200000
13,7,Omega Ltd.,GROWTH,375499250,153916899,221582351,2148191664,0,91,125,0,41,41,0,0,1,2010,35076899,31640000
13,8,Horizon Corporation,GROWTH,325485349,89070712,236414637,2361023867,0,157,119,0,31,31,0,0,0,3780,64024558,58880000
13,9,Future Motors,GROWTH,0,133947978,-133947978,3438685575,0,225,0,0,92,92,0,0,1,4870,96147619,75880000
13,10,モータースショップ,GROWTH,639716856,484528107,155188749,1983323197,0,692,0,190,0,0,0,0,1,1080,37021512,31635000
13,11,ファミリーアベニュー,GROWTH,708036079,239124971,468911108,1390893892,0,813,0,207,0,0,0,0,0,1085,31101512,28340000
13,12,カーショップディーラー,GROWTH,747548656,404536098,343012558,1739221885,0,729,0,225,0,0,0,0,2,1080,21710749,30340000
14,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
14,2,Galaxy Motors,GROWTH,0,114024591,-114024591,1601126053,0,99,0,0,22,22,0,0,1,1740,26424591,27200000
14,3,Jupiter Group,GROWTH,0,106864591,-106864591,1630052649,0,113,0,0,20,20,0,0,4,1210,30104591,18760000
14,4,Prime Cars,GROWTH,0,26741952,-26741952,4228947727,0,296,0,0,0,0,0,0,2,7340,98449156,114720000
14,5,Eco Automotive,STABLE,172624083,90424601,82199482,1368973241,0,72,61,0,23,23,0,0,0,1310,17304601,20520000
14,6,Galaxy Mobility,GROWTH,262387125,163255353,99131772,1873996767,0,86,91,0,38,38,0,0,0,2450,44455353,38200000
14,7,Omega Ltd.,GROWTH,0,39645781,-39645781,1893726717,0,127,0,0,36,36,0,0,1,2010,30215364,31640000
14,8,Horizon Corporation,GROWTH,0,107004143,-107004143,2017917338,0,211,0,0,54,54,0,0,1,3780,54375336,58880000
14,9,Future Motors,GROWTH,411424993,112117976,299307017,3394124036,0,161,133,0,69,69,0,0,2,4870,75372254,75880000
14,10,モータースショップ,GROWTH,563718584,778994784,-215276200,1768046997,0,751,0,165,0,0,0,0,5,1080,34547666,31635000
14,11,ファミリーアベニュー,GROWTH,671631279,83019976,588611303,1979505195,0,615,0,198,0,0,0,0,3,1085,27679976,28340000
14,12,カーショップディーラー,GROWTH,659286135,220305605,438980530,2178202415,0,592,0,198,0,0,0,0,0,1080,17341522,30340000
15,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
15,2,Galaxy Motors,GROWTH,174174273,102990746,71183527,1672309580,0,58,57,0,16,16,0,0,2,1740,24590746,27200000
15,3,Jupiter Group,GROWTH,302242560,93387673,208854887,1838907536,0,35,93,0,15,15,0,0,0,1210,24627673,18760000
15,4,Prime Cars,GROWTH,170221560,73463321,96758239,3902811194,0,273,60,0,37,37,0,0,3,7340,75790707,114720000
15,5,Eco Automotive,STABLE,192805115,89673833,103131282,1472104523,0,23,71,0,22,22,0,0,0,1310,15753833,20520000
15,6,Galaxy Mobility,GROWTH,159996606,151427667,8568939,1882565706,0,62,57,0,33,33,0,0,0,2450,36627667,38200000
15,7,Omega Ltd.,GROWTH,108153358,128338444,-20185086,1873541631,0,118,38,0,29,29,0,0,1,2010,24898444,31640000
15,8,Horizon Corporation,GROWTH,375352245,112654862,262697383,2078822989,0,134,135,0,58,58,0,0,0,3780,45070728,58880000
15,9,Future Motors,GROWTH,172594072,84961446,87632626,3142344260,0,159,56,0,54,54,0,0,5,4870,63987647,75880000
15,10,モータースショップ,GROWTH,518210259,235446175,282764084,2050811081,0,656,0,152,0,0,0,0,1,1080,29636902,31635000
15,11,ファミリーアベニュー,GROWTH,786148243,569729650,216418593,2195923788,0,552,0,234,0,0,0,0,0,1085,22276904,28340000
15,12,カーショップディーラー,GROWTH,689753322,943199558,-253446236,1706935939,0,722,0,209,0,0,0,0,4,1080,16516908,30340000
16,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
16,2,Galaxy Motors,GROWTH,156069300,94759982,61309318,1733618898,0,20,50,0,12,12,0,0,1,1740,20159982,27200000
