週,企業ID,企業名,フェーズ,売上高,費用計,収支,現金残高,借入残高,在庫数,B2B販売数,B2C販売数,生産指示数,生産完了数,開発指示数,開発完了数,採用数,施設規模,人件費,施設費
25,9,Future Motors,STABLE,0,145150754,-145150754,1617144612,0,21,0,0,11,11,0,0,0,4870,21070754,75880000
25,10,モータースショップ,GROWTH,205569060,96377146,109191914,2581309534,0,0,0,57,0,0,0,0,1,1080,18141525,31635000
25,11,ファミリーアベニュー,STABLE,0,-82462941,82462941,2338774137,0,0,0,0,0,0,0,0,1,1085,14547681,28340000
25,12,カーショップディーラー,STABLE,0,-87278961,87278961,2562647758,0,0,0,0,0,0,0,0,3,1080,19901527,30340000
26,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
26,2,Galaxy Motors,STABLE,61795334,69119994,-7324660,1241784794,0,20,19,0,10,10,0,0,0,1740,5919994,27200000
26,3,Jupiter Group,STABLE,84521808,67366147,17155661,1409244983,0,22,24,0,11,11,0,0,0,1210,8406147,18760000
26,4,Prime Cars,GROWTH,78381732,181273827,-102892095,1610307909,0,15,26,0,8,8,0,0,5,7340,22953827,114720000
26,5,Eco Automotive,STABLE,0,61923070,-61923070,1060029506,0,25,0,0,9,9,0,0,0,1310,8603070,20520000
26,6,Galaxy Mobility,STABLE,0,77079993,-77079993,1252591776,0,14,0,0,3,3,0,0,2,2450,9279993,38200000
26,7,Omega Ltd.,STABLE,0,89556917,-89556917,1498801282,0,34,0,0,14,14,0,0,0,2010,10116917,31640000
26,8,Horizon Corporation,STABLE,0,105830761,-105830761,1267739166,0,20,0,0,8,8,0,0,3,3780,10350761,58880000
26,9,Future Motors,STABLE,69469060,139689218,-70220158,1546924454,0,12,20,0,11,11,0,0,0,4870,18609218,75880000
26,10,モータースショップ,GROWTH,289037446,229910607,59126839,2382305421,0,0,0,79,0,0,0,0,1,1080,17907679,31635000
26,11,ファミリーアベニュー,STABLE,38781310,6461967,32319343,2137216068,0,0,0,10,0,0,0,0,1,1085,14326143,28340000
26,12,カーショップディーラー,STABLE,0,-26180093,26180093,2332563077,0,0,0,0,0,0,0,0,3,1080,21612294,30340000
27,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
27,2,Galaxy Motors,STABLE,0,71052300,-71052300,1170732494,0,30,0,0,10,10,0,0,3,1740,7852300,27200000
27,3,Jupiter Group,STABLE,0,64704608,-64704608,1344540375,0,30,0,0,8,8,0,0,2,1210,8344608,18760000
27,4,Prime Cars,STABLE,0,175870753,-175870753,1434437156,0,22,0,0,7,7,0,0,0,7340,20750753,114720000
27,5,Eco Automotive,STABLE,56472240,54775380,1696860,1061726366,0,15,16,0,6,6,0,0,0,1310,6055380,20520000
27,6,Galaxy Mobility,STABLE,36077041,80141532,-44064491,1208527285,0,10,11,0,7,7,0,0,0,2450,8541532,38200000
27,7,Omega Ltd.,STABLE,63109400,87556917,-24447517,1474353765,0,28,20,0,14,14,0,0,0,2010,10116917,31640000
27,8,Horizon Corporation,STABLE,40426248,104052299,-63626051,1204113115,0,16,12,0,8,8,0,0,1,3780,10572299,58880000
27,9,Future Motors,STABLE,0,135319988,-135319988,1411604466,0,22,0,0,10,10,0,0,1,4870,17439988,75880000
27,10,モータースショップ,STABLE,221046010,125909261,95136749,2239211628,0,0,0,59,0,0,0,0,1,1080,17304603,31635000
27,11,ファミリーアベニュー,STABLE,0,-63825431,63825431,1987319893,0,0,0,0,0,0,0,0,2,1085,14695372,28340000
27,12,カーショップディーラー,STABLE,0,-63358937,63358937,2162665708,0,0,0,0,0,0,0,0,3,1080,22929216,30340000
28,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
28,2,Galaxy Motors,STABLE,64982820,71984607,-7001787,1163730707,0,20,20,0,10,10,0,0,3,1740,9784607,27200000
28,3,Jupiter Group,STABLE,70658082,63904608,6753474,1351293849,0,17,22,0,9,9,0,0,0,1210,8344608,18760000
28,4,Prime Cars,STABLE,47150505,170172292,-123021787,1311415369,0,12,15,0,5,5,0,0,3,7340,21452292,114720000
28,5,Eco Automotive,STABLE,0,55686148,-55686148,1006040218,0,21,0,0,6,6,0,0,3,1310,6966148,20520000
28,6,Galaxy Mobility,STABLE,0,76304610,-76304610,1132222675,0,16,0,0,6,6,0,0,1,2450,6904610,38200000
28,7,Omega Ltd.,STABLE,0,86332301,-86332301,1388021464,0,41,0,0,13,13,0,0,1,2010,10092301,31640000
28,8,Horizon Corporation,STABLE,0,100683069,-100683069,1103430046,0,23,0,0,7,7,0,0,0,3780,9403069,58880000
28,9,Future Motors,STABLE,45650700,131375374,-85724674,1325879792,0,20,12,0,10,10,0,0,2,4870,15495374,75880000
28,10,モータースショップ,GROWTH,260879224,211378049,49501175,2064791641,0,0,0,69,0,0,0,0,5,1080,19261523,31635000
28,11,ファミリーアベニュー,STABLE,0,39650760,-39650760,1947669133,0,0,0,0,0,0,0,0,1,1085,11310760,28340000
28,12,カーショップディーラー,STABLE,0,-57436375,57436375,2003835513,0,0,0,0,0,0,0,0,0,1080,20356910,30340000
29,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
29,2,Galaxy Motors,STABLE,0,72427683,-72427683,1091303024,0,30,0,0,10,10,0,0,1,1740,10227683,27200000
29,3,Jupiter Group,STABLE,0,64492300,-64492300,1286801549,0,25,0,0,8,8,0,0,1,1210,9132300,18760000
29,4,Prime Cars,STABLE,0,173107679,-173107679,1138307690,0,23,0,0,11,11,0,0,1,7340,19187679,114720000
29,5,Eco Automotive,STABLE,52925160,54612302,-1687142,1004353076,0,12,15,0,6,6,0,0,1,1310,6892302,20520000
29,6,Galaxy Mobility,STABLE,32499090,75036918,-42537828,1089684847,0,13,10,0,7,7,0,0,0,2450,6436918,38200000
29,7,Omega Ltd.,STABLE,88033148,80683072,7350076,1395371540,0,25,28,0,12,12,0,0,0,2010,7643072,31640000
29,8,Horizon Corporation,STABLE,54330768,97716915,-43386147,1060043899,0,13,16,0,6,6,0,0,2,3780,9636915,58880000
29,9,Future Motors,STABLE,0,130212296,-130212296,1195667496,0,30,0,0,10,10,0,0,3,4870,16332296,75880000
29,10,モータースショップ,STABLE,258278453,174485108,83793345,1942105822,0,0,0,69,0,0,0,0,3,1080,18301524,31635000
29,11,ファミリーアベニュー,STABLE,0,77859992,-77859992,1869809141,0,0,0,0,0,0,0,0,2,1085,11519992,28340000
29,12,カーショップディーラー,STABLE,0,-9937942,9937942,1813389905,0,0,0,0,0,0,0,0,3,1080,19913833,30340000
30,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
30,2,Galaxy Motors,STABLE,64493880,71670759,-7176879,1084126145,0,20,20,0,10,10,0,0,2,1740,11470759,27200000
30,3,Jupiter Group,STABLE,54599427,64849223,-10249796,1276551753,0,17,17,0,9,9,0,0,3,1210,10289223,18760000
30,4,Prime Cars,STABLE,38346360,167126142,-128779782,1009527908,0,22,12,0,11,11,0,0,1,7340,17206142,114720000
30,5,Eco Automotive,STABLE,0,56532302,-56532302,947820774,0,20,0,0,8,8,0,0,0,1310,6412302,20520000
30,6,Galaxy Mobility,STABLE,0,75236918,-75236918,1014447929,0,21,0,0,8,8,0,0,0,2450,6436918,38200000
30,7,Omega Ltd.,STABLE,0,83199994,-83199994,1312171546,0,38,0,0,13,13,0,0,3,2010,8959994,31640000
30,8,Horizon Corporation,STABLE,0,102249223,-102249223,957794676,0,24,0,0,11,11,0,0,0,3780,9169223,58880000
30,9,Future Motors,STABLE,81256560,123944604,-42688044,1152979452,0,19,20,0,9,9,0,0,0,4870,14264604,75880000
30,10,モータースショップ,STABLE,269533336,289235827,-19702491,1922403331,0,0,0,69,0,0,0,0,1,1080,18904600,31635000
30,11,ファミリーアベニュー,STABLE,0,40647684,-40647684,1829161457,0,0,0,0,0,0,0,0,2,1085,12307684,28340000
30,12,カーショップディーラー,STABLE,0,49183065,-49183065,1764206840,0,0,0,0,0,0,0,0,1,1080,18843065,30340000
31,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
31,2,Galaxy Motors,STABLE,0,72187682,-72187682,1011938463,0,30,0,0,10,10,0,0,1,1740,11987682,27200000
31,3,Jupiter Group,STABLE,0,69679993,-69679993,1206871760,0,31,0,0,14,14,0,0,0,1210,9119993,18760000
31,4,Prime Cars,STABLE,0,165101526,-165101526,844426382,0,33,0,0,11,11,0,0,1,7340,17181526,114720000
31,5,Eco Automotive,STABLE,42124956,55129226,-13004270,934816504,0,17,12,0,9,9,0,0,0,1310,5809226,20520000
31,6,Galaxy Mobility,STABLE,43555369,72470765,-28915396,985532533,0,15,13,0,7,7,0,0,0,2450,5870765,38200000
31,7,Omega Ltd.,STABLE,77933350,81683071,-3749721,1308421825,0,26,25,0,13,13,0,0,0,2010,8443071,31640000
31,8,Horizon Corporation,STABLE,43697017,100741530,-57044513,900750163,0,22,13,0,11,11,0,0,1,3780,9661530,58880000
31,9,Future Motors,STABLE,0,121839988,-121839988,1031139464,0,26,0,0,7,7,0,0,1,4870,14559988,75880000
31,10,モータースショップ,GROWTH,235052183,297068752,-62016569,1860386762,0,0,0,63,0,0,0,0,4,1080,20123060,31635000
31,11,ファミリーアベニュー,STABLE,0,77139992,-77139992,1752021465,0,0,0,0,0,0,0,0,2,1085,12799992,28340000
31,12,カーショップディーラー,STABLE,0,84207681,-84207681,1679999159,0,0,0,0,0,0,0,0,3,1080,18867681,30340000
32,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
32,2,Galaxy Motors,STABLE,64662340,69987682,-5325342,1006613121,0,19,20,0,9,9,0,0,0,1740,11987682,27200000
32,3,Jupiter Group,STABLE,54599427,69332300,-14732873,1192138887,0,28,17,0,14,14,0,0,1,1210,9772300,18760000
32,4,Prime Cars,STABLE,72053828,156024604,-83970776,760455606,0,19,22,0,8,8,0,0,2,7340,15704604,114720000
32,5,Eco Automotive,STABLE,0,55129226,-55129226,879687278,0,26,0,0,9,9,0,0,0,1310,5809226,20520000
32,6,Galaxy Mobility,STABLE,0,72898456,-72898456,912634077,0,22,0,0,7,7,0,0,2,2450,7298456,38200000
32,7,Omega Ltd.,STABLE,0,81215379,-81215379,1227206446,0,39,0,0,13,13,0,0,1,2010,7975379,31640000
32,8,Horizon Corporation,STABLE,0,99741530,-99741530,801008633,0,33,0,0,11,11,0,0,0,3780,9661530,58880000
32,9,Future Motors,STABLE,76895014,124519986,-47624972,983514492,0,17,19,0,10,10,0,0,3,4870,16639986,75880000
32,10,モータースショップ,GROWTH,301148811,317679439,-16530628,1843856134,0,0,0,78,0,0,0,0,1,1080,17833830,31635000
32,11,ファミリーアベニュー,STABLE,0,41718454,-41718454,1710303011,0,0,0,0,0,0,0,0,2,1085,13378454,28340000
32,12,カーショップディーラー,STABLE,0,49699988,-49699988,1630299171,0,0,0,0,0,0,0,0,1,1080,19359988,30340000
33,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
33,2,Galaxy Motors,STABLE,0,71187682,-71187682,935425439,0,29,0,0,10,10,0,0,0,1740,11987682,27200000
33,3,Jupiter Group,STABLE,0,68332300,-68332300,1123806587,0,42,0,0,14,14,0,0,0,1210,9772300,18760000
33,4,Prime Cars,STABLE,0,155879989,-155879989,604575617,0,28,0,0,9,9,0,0,2,7340,15359989,114720000
33,5,Eco Automotive,STABLE,58766076,52929226,5836850,885524128,0,17,17,0,8,8,0,0,0,1310,5809226,20520000
33,6,Galaxy Mobility,STABLE,49555755,79541532,-29985777,882648300,0,20,15,0,13,13,0,0,1,2450,7741532,38200000
33,7,Omega Ltd.,STABLE,78386334,79843071,-1456737,1225749709,0,26,26,0,13,13,0,0,2,2010,8603071,31640000
33,8,Horizon Corporation,STABLE,74467756,98455376,-23987620,777021013,0,22,22,0,11,11,0,0,1,3780,10375376,58880000
33,9,Future Motors,STABLE,0,123507678,-123507678,860006814,0,27,0,0,10,10,0,0,1,4870,16627678,75880000
33,10,モータースショップ,GROWTH,299023859,347247829,-48223970,1795632164,0,0,0,80,0,0,0,0,5,1080,18436908,31635000
33,11,ファミリーアベニュー,STABLE,0,77096914,-77096914,1633206097,0,0,0,0,0,0,0,0,3,1085,14756914,28340000
33,12,カーショップディーラー,STABLE,0,80678450,-80678450,1549620721,0,0,0,0,0,0,0,0,1,1080,18338450,30340000
34,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
34,2,Galaxy Motors,STABLE,61051465,65710758,-4659293,930766146,0,17,19,0,7,7,0,0,1,1740,12110758,27200000
34,3,Jupiter Group,STABLE,89928468,66132300,23796168,1147602755,0,27,28,0,13,13,0,0,0,1210,9772300,18760000
34,4,Prime Cars,STABLE,62952529,157064605,-94112076,510463541,0,22,19,0,13,13,0,0,0,7340,14744605,114720000
34,5,Eco Automotive,STABLE,0,52307689,-52307689,833216439,0,24,0,0,7,7,0,0,3,1310,6387689,20520000
34,6,Galaxy Mobility,STABLE,0,77919993,-77919993,804728307,0,32,0,0,12,12,0,0,1,2450,8319993,38200000
34,7,Omega Ltd.,STABLE,0,73972302,-73972302,1151777407,0,35,0,0,9,9,0,0,0,2010,7532302,31640000
34,8,Horizon Corporation,STABLE,0,94403069,-94403069,682617944,0,31,0,0,9,9,0,0,1,3780,9723069,58880000
34,9,Future Motors,STABLE,69741820,114172295,-44430475,815576339,0,16,17,0,6,6,0,0,0,4870,14092295,75880000
34,10,モータースショップ,GROWTH,321758575,336269265,-14510690,1781121474,0,0,0,83,0,0,0,0,5,1080,20959983,31635000
34,11,ファミリーアベニュー,STABLE,0,42419991,-42419991,1590786106,0,0,0,0,0,0,0,0,0,1085,14079991,28340000
34,12,カーショップディーラー,STABLE,0,45515374,-45515374,1504105347,0,0,0,0,0,0,0,0,1,1080,15175374,30340000
35,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
35,2,Galaxy Motors,STABLE,0,69803065,-69803065,860963081,0,27,0,0,10,10,0,0,1,1740,12603065,27200000
35,3,Jupiter Group,STABLE,0,66052301,-66052301,1081550454,0,41,0,0,14,14,0,0,0,1210,8492301,18760000
35,4,Prime Cars,STABLE,0,139116721,-139116721,921346820,550000000,22,0,0,0,0,0,0,0,7340,13624606,114720000
35,5,Eco Automotive,STABLE,56907432,60335381,-3427949,829788490,0,21,17,0,14,14,0,0,1,1310,7015381,20520000
35,6,Galaxy Mobility,STABLE,67322600,76919993,-9597393,795130914,0,24,20,0,12,12,0,0,0,2450,8319993,38200000
35,7,Omega Ltd.,STABLE,78386334,72276917,6109417,1157886824,0,17,26,0,8,8,0,0,2,2010,8036917,31640000
35,8,Horizon Corporation,STABLE,71646080,92403069,-20756989,661860955,0,18,22,0,9,9,0,0,0,3780,9723069,58880000
35,9,Future Motors,STABLE,0,113855373,-113855373,701720966,0,23,0,0,7,7,0,0,1,4870,13575373,75880000
35,10,モータースショップ,GROWTH,317028829,362718967,-45690138,1735431336,0,0,0,85,0,0,0,0,5,1080,21821521,31635000
35,11,ファミリーアベニュー,STABLE,0,74712298,-74712298,1516073808,0,0,0,0,0,0,0,0,2,1085,15372298,28340000
35,12,カーショップディーラー,STABLE,0,76992296,-76992296,1427113051,0,0,0,0,0,0,0,0,2,1080,16652296,30340000
36,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
36,2,Galaxy Motors,GROWTH,55738359,69775373,-14037014,846926067,0,20,17,0,10,10,0,0,3,1740,13575373,27200000
36,3,Jupiter Group,STABLE,86716737,66455376,20261361,1101811815,0,28,27,0,14,14,0,0,3,1210,9895376,18760000
36,4,Prime Cars,STABLE,71532472,158765953,-87233481,834113339,550000000,11,22,0,11,11,0,0,0,7340,12073838,114720000
36,5,Eco Automotive,GROWTH,0,59135381,-59135381,770653109,0,34,0,0,13,13,0,0,0,1310,7015381,20520000
36,6,Galaxy Mobility,GROWTH,0,77119993,-77119993,718010921,0,37,0,0,13,13,0,0,0,2450,8319993,38200000
36,7,Omega Ltd.,STABLE,0,75150762,-75150762,1082736062,0,26,0,0,9,9,0,0,3,2010,9710762,31640000
36,8,Horizon Corporation,STABLE,0,93603069,-93603069,568257886,0,28,0,0,10,10,0,0,0,3780,9723069,58880000
36,9,Future Motors,STABLE,65656528,113615374,-47958846,653762120,0,16,16,0,9,9,0,0,1,4870,12935374,75880000
36,10,モータースショップ,GROWTH,316942740,332128310,-15185570,1720245766,0,0,0,82,0,0,0,0,1,1080,20849214,31635000
36,11,ファミリーアベニュー,STABLE,0,43712298,-43712298,1472361510,0,0,0,0,0,0,0,0,0,1085,15372298,28340000
36,12,カーショップディーラー,STABLE,0,47570757,-47570757,1379542294,0,0,0,0,0,0,0,0,1,1080,17230757,30340000
37,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
37,2,Galaxy Motors,GROWTH,0,68283066,-68283066,778643001,0,30,0,0,10,10,0,0,0,1740,13083066,27200000
37,3,Jupiter Group,GROWTH,0,66181530,-66181530,1035630285,0,41,0,0,13,13,0,0,1,1210,9821530,18760000
37,4,Prime Cars,STABLE,0,153233644,-153233644,680879695,550000000,20,0,0,9,9,0,0,2,7340,10941529,114720000
37,5,Eco Automotive,GROWTH,70303926,58664611,11639315,782292424,0,26,21,0,13,13,0,0,1,1310,7544611,20520000
37,6,Galaxy Mobility,GROWTH,79882320,76636916,3245404,721256325,0,26,24,0,13,13,0,0,1,2450,8836916,38200000
37,7,Omega Ltd.,GROWTH,53155923,78547684,-25391761,1057344301,0,21,17,0,12,12,0,0,4,2010,11507684,31640000
37,8,Horizon Corporation,STABLE,58720230,89787685,-31067455,537190431,0,19,18,0,9,9,0,0,0,3780,9107685,58880000
37,9,Future Motors,STABLE,0,114873836,-114873836,538888284,0,28,0,0,12,12,0,0,0,4870,11593836,75880000
37,10,モータースショップ,GROWTH,300883350,350035842,-49152492,1671093274,0,0,0,80,0,0,0,0,5,1080,22338443,31635000
37,11,ファミリーアベニュー,STABLE,0,72146145,-72146145,1400215365,0,0,0,0,0,0,0,0,1,1085,14806145,28340000
37,12,カーショップディーラー,STABLE,0,71863067,-71863067,1307679227,0,0,0,0,0,0,0,0,1,1080,14523067,30340000
38,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
38,2,Galaxy Motors,GROWTH,64428060,65572297,-1144237,777498764,0,18,20,0,8,8,0,0,2,1740,13772297,27200000
38,3,Jupiter Group,GROWTH,89928468,66606145,23322323,1058952608,0,26,28,0,13,13,0,0,4,1210,12246145,18760000
38,4,Prime Cars,CRISIS,35938738,975650651,-939711913,1414124872,550000000,21,11,0,12,12,0,0,0,7340,9279991,114720000
38,5,Eco Automotive,GROWTH,0,60319995,-60319995,721972429,0,40,0,0,14,14,0,0,1,1310,7999995,20520000
38,6,Galaxy Mobility,GROWTH,0,76655376,-76655376,644600949,0,38,0,0,12,12,0,0,2,2450,10055376,38200000
38,7,Omega Ltd.,STABLE,0,79747684,-79747684,977596617,0,34,0,0,13,13,0,0,0,2010,11507684,31640000
38,8,Horizon Corporation,STABLE,0,88787685,-88787685,448402746,0,28,0,0,9,9,0,0,0,3780,9107685,58880000
38,9,Future Motors,STABLE,64996640,108433836,-43437196,495451088,0,21,16,0,9,9,0,0,3,4870,11753836,75880000
38,10,モータースショップ,GROWTH,292423058,308797657,-16374599,1654718675,0,0,0,75,0,0,0,0,1,1080,21870751,31635000
38,11,ファミリーアベニュー,STABLE,0,73139990,-73139990,1327075375,0,0,0,0,0,0,0,0,3,1085,16799990,28340000
38,12,カーショップディーラー,STABLE,0,72586143,-72586143,1235093084,0,0,0,0,0,0,0,0,3,1080,16246143,30340000
39,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
39,2,Galaxy Motors,GROWTH,0,71529219,-71529219,705969545,0,30,0,0,12,12,0,0,2,1740,14929219,27200000
39,3,Jupiter Group,GROWTH,0,65206145,-65206145,993746463,0,37,0,0,11,11,0,0,1,1210,12246145,18760000
39,4,Prime Cars,STABLE,65405740,168372106,-102966366,1311158506,550000000,14,20,0,13,13,0,0,0,7340,9279991,114720000
39,5,Eco Automotive,GROWTH,86164728,58119995,28044733,750017162,0,27,26,0,13,13,0,0,0,1310,7999995,20520000
39,6,Galaxy Mobility,GROWTH,86456058,74655376,11800682,656401631,0,24,26,0,12,12,0,0,0,2450,10055376,38200000
39,7,Omega Ltd.,STABLE,68453259,74049223,-5595964,972000653,0,23,21,0,10,10,0,0,1,2010,11409223,31640000
39,8,Horizon Corporation,STABLE,63395438,86787685,-23392247,425010499,0,18,19,0,9,9,0,0,0,3780,9107685,58880000
39,9,Future Motors,STABLE,0,113883067,-113883067,381568021,0,36,0,0,15,15,0,0,0,4870,11003067,75880000
39,10,モータースショップ,GROWTH,421932818,458940974,-37008156,1617710519,0,0,0,112,0,0,0,0,5,1080,24430751,31635000
39,11,ファミリーアベニュー,STABLE,0,45398451,-45398451,1281676924,0,0,0,0,0,0,0,0,2,1085,17058451,28340000
39,12,カーショップディーラー,STABLE,0,44653836,-44653836,1190439248,0,0,0,0,0,0,0,0,0,1080,14313836,30340000
40,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
40,2,Galaxy Motors,GROWTH,58219506,70455373,-12235867,693733678,0,24,18,0,12,12,0,0,1,1740,14855373,27200000
40,3,Jupiter Group,GROWTH,88379590,62726145,25653445,1019399908,0,22,26,0,11,11,0,0,1,1210,11766145,18760000
40,4,Prime Cars,STABLE,0,166458260,-166458260,1144700246,550000000,27,0,0,13,13,0,0,2,7340,9366145,114720000
40,5,Eco Automotive,GROWTH,0,60319995,-60319995,689697167,0,41,0,0,14,14,0,0,0,1310,7999995,20520000
40,6,Galaxy Mobility,GROWTH,0,76609222,-76609222,579792409,0,37,0,0,13,13,0,0,1,2450,9809222,38200000
40,7,Omega Ltd.,STABLE,0,70689224,-70689224,901311429,0,31,0,0,8,8,0,0,0,2010,10449224,31640000
40,8,Horizon Corporation,STABLE,0,87390761,-87390761,337619738,0,27,0,0,9,9,0,0,1,3780,9710761,58880000
40,9,Future Motors,STABLE,82840569,108424607,-25584038,355983983,0,28,21,0,13,13,0,0,0,4870,9944607,75880000
40,10,モータースショップ,GROWTH,265105353,286034646,-20929293,1596781226,0,0,0,65,0,0,0,0,2,1080,24959981,31635000
40,11,ファミリーアベニュー,STABLE,0,70816912,-70816912,1210860012,0,0,0,0,0,0,0,0,3,1085,17476912,28340000
40,12,カーショップディーラー,STABLE,0,67629221,-67629221,1122810027,0,0,0,0,0,0,0,0,3,1080,14289221,30340000
41,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
41,2,Galaxy Motors,GROWTH,0,68021526,-68021526,625712152,0,35,0,0,11,11,0,0,2,1740,14621526,27200000
41,3,Jupiter Group,GROWTH,0,63726145,-63726145,955673763,0,33,0,0,11,11,0,0,0,1210,11766145,18760000
41,4,Prime Cars,STABLE,45904460,159756723,-113852263,1030847983,550000000,25,14,0,12,12,0,0,1,7340,7864608,114720000
41,5,Eco Automotive,GROWTH,89083908,58836918,30246990,719944157,0,28,27,0,14,14,0,0,1,1310,8516918,20520000
41,6,Galaxy Mobility,GROWTH,70003320,72781530,-2778210,577014199,0,25,24,0,12,12,0,0,0,2450,9181530,38200000
41,7,Omega Ltd.,STABLE,74972617,70772300,4200317,905511746,0,16,23,0,8,8,0,0,2,2010,11532300,31640000
41,8,Horizon Corporation,STABLE,59780736,87298454,-27517718,310102020,0,20,18,0,11,11,0,0,0,3780,9218454,58880000
41,9,Future Motors,STABLE,0,107501531,-107501531,248482452,0,41,0,0,13,13,0,0,0,4870,9021531,75880000
41,10,モータースショップ,GROWTH,401389477,427315407,-25925930,1570855296,0,0,0,106,0,0,0,0,4,1080,24935366,31635000
41,11,ファミリーアベニュー,STABLE,0,71712295,-71712295,1139147717,0,0,0,0,0,0,0,0,3,1085,19372295,28340000
41,12,カーショップディーラー,STABLE,0,65952298,-65952298,1056857729,0,0,0,0,0,0,0,0,1,1080,13612298,30340000
42,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
42,2,Galaxy Motors,GROWTH,78085008,64836912,13248096,638960248,0,21,24,0,10,10,0,0,0,1740,13636912,27200000
42,3,Jupiter Group,GROWTH,77831006,64683067,13147939,968821702,0,22,22,0,11,11,0,0,4,1210,13723067,18760000
42,4,Prime Cars,STABLE,0,157301339,-157301339,873546644,550000000,37,0,0,12,12,0,0,0,7340,7409224,114720000
42,5,Eco Automotive,GROWTH,0,58636918,-58636918,661307239,0,41,0,0,13,13,0,0,0,1310,8516918,20520000
42,6,Galaxy Mobility,GROWTH,0,72781530,-72781530,504232669,0,37,0,0,12,12,0,0,0,2450,9181530,38200000
42,7,Omega Ltd.,GROWTH,0,71750761,-71750761,833760985,0,25,0,0,9,9,0,0,1,2010,11310761,31640000
42,8,Horizon Corporation,STABLE,0,87298454,-87298454,222803566,0,31,0,0,11,11,0,0,0,3780,9218454,58880000
42,9,Future Motors,STABLE,107658264,89735070,17923194,786405646,520000000,13,28,0,0,0,0,0,1,4870,9083070,75880000
42,10,モータースショップ,GROWTH,304080672,319061568,-14980896,1555874400,0,0,0,74,0,0,0,0,0,1080,23852290,31635000
42,11,ファミリーアベニュー,STABLE,0,47650756,-47650756,1091496961,0,0,0,0,0,0,0,0,1,1085,19310756,28340000
42,12,カーショップディーラー,STABLE,0,65358452,-65358452,991499277,0,0,0,0,0,0,0,0,3,1080,14018452,30340000
43,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
43,2,Galaxy Motors,GROWTH,0,65009220,-65009220,573951028,0,31,0,0,10,10,0,0,1,1740,13809220,27200000
43,3,Jupiter Group,GROWTH,0,67433835,-67433835,901387867,0,34,0,0,12,12,0,0,3,1210,15273835,18760000
43,4,Prime Cars,STABLE,72696625,154301339,-81604714,791941930,550000000,24,25,0,12,12,0,0,0,7340,7409224,114720000
43,5,Eco Automotive,GROWTH,92438920,59439994,32998926,694306165,0,27,28,0,14,14,0,0,1,1310,9119994,20520000
43,6,Galaxy Mobility,STABLE,72920125,71781530,1138595,505371264,0,24,25,0,12,12,0,0,0,2450,9181530,38200000
43,7,Omega Ltd.,GROWTH,52154864,69849222,-17694358,816066627,0,18,16,0,9,9,0,0,1,2010,11409222,31640000
43,8,Horizon Corporation,STABLE,67120940,72156608,-5035668,737767898,520000000,11,20,0,0,0,0,0,0,3780,8504608,58880000
43,9,Future Motors,STABLE,0,111442764,-111442764,674962882,520000000,23,0,0,10,10,0,0,0,4870,7790764,75880000
43,10,モータースショップ,GROWTH,427666588,444471072,-16804484,1539069916,0,0,0,114,0,0,0,0,5,1080,24504598,31635000
43,11,ファミリーアベニュー,STABLE,0,68133833,-68133833,1023363128,0,0,0,0,0,0,0,0,2,1085,18793833,28340000
43,12,カーショップディーラー,STABLE,0,43533836,-43533836,947965441,0,0,0,0,0,0,0,0,1,1080,13193836,30340000
44,1,Player Corp,,0,0,0,1000000000,0,0,0,0,0,0,0,0,0,0,0,0
44,2,Galaxy Motors,GROWTH,68412687,64569220,3843467,577794495,0,21,21,0,11,11,0,0,0,1740,13169220,27200000
44,3,Jupiter Group,GROWTH,77831006,64507680,13323326,914711193,0,21,22,0,9,9,0,0,5,1210,16947680,18760000
44,4,Prime Cars,STABLE,0,149919802,-149919802,642022128,550000000,35,0,0,11,11,0,0,0,7340,6227687,114720000
44,5,Eco Automotive,GROWTH,0,59439994,-59439994,634866171,0,41,0,0,14,14,0,0,0,1310,9119994,20520000
