週,企業ID,企業名,業界,経営方針,フェーズ,売上高,売上原価,原価率,売上総利益,粗利率,人件費計,人件費率,地代家賃計,家賃率,広告宣伝費,広告費率,営業利益,営業利益率,支払利息,特別利益,当期純利益,純利益率,人件費(生産),人件費(開発),人件費(営業),人件費(人事),人件費(広報),人件費(経理),人件費(店舗),家賃(工場),家賃(オフィス),家賃(店舗),材料費(CF),商品仕入(CF),設備投資(CF)
33,26,オートサロンセンター,automotive,standard,GROWTH,149019222,137432351,92.2%,11586871,7.8%,55889186,37.5%,660000,0.4%,0,0.0%,-44962315,-30.2%,0,0,-44962315,-30.2%,0,0,46744578,5452304,1230768,1230768,1230768,0,500000,160000,0,114338395,0
33,27,Rapid Motors,pc,standard,GROWTH,52689920,9840000,18.7%,42849920,81.3%,53230728,101.0%,560000,1.1%,5000000,9.5%,-15940808,-30.3%,0,0,-15940808,-30.3%,1230768,12935373,31532285,5070766,1230768,1230768,0,60000,500000,0,9960000,0,0
33,28,Dimension Mobility,pc,standard,GROWTH,47395508,9840000,20.8%,37555508,79.2%,58523036,123.5%,560000,1.2%,4000000,8.4%,-25527528,-53.9%,0,0,-25527528,-53.9%,1230768,7519992,41292282,6018458,1230768,1230768,0,60000,500000,0,9960000,0,0
33,29,Solar Group,pc,standard,GROWTH,300993048,60960000,20.3%,240033048,79.7%,73243020,24.3%,560000,0.2%,44000000,14.6%,122230028,40.6%,0,0,122230028,40.6%,9624607,9390760,45181508,6584609,1230768,1230768,0,60000,500000,0,74040000,0,0
33,30,Grand Inc.,pc,standard,GROWTH,50642284,9960000,19.7%,40682284,80.3%,56319957,111.2%,560000,1.1%,4000000,7.9%,-20197673,-39.9%,0,0,-20197673,-39.9%,1230768,13439991,34203050,4984612,1230768,1230768,0,60000,500000,0,9960000,0,0
33,31,Cyber Cars,pc,standard,GROWTH,50264053,9960000,19.8%,40304053,80.2%,60073799,119.5%,560000,1.1%,4000000,8.0%,-24329746,-48.4%,0,0,-24329746,-48.4%,1230768,10079994,41316888,4984613,1230768,1230768,0,60000,500000,0,9960000,0,0
33,32,Vertex Co.,pc,standard,GROWTH,48609199,9960000,20.5%,38649199,79.5%,63913792,131.5%,560000,1.2%,4000000,8.2%,-29824593,-61.4%,0,0,-29824593,-61.4%,1230768,15913833,38572275,5735380,1230768,1230768,0,60000,500000,0,9960000,0,0
33,33,Infinity Engineering,pc,standard,GROWTH,50482480,9840000,19.5%,40642480,80.5%,59236880,117.3%,560000,1.1%,4000000,7.9%,-23154400,-45.9%,0,0,-23154400,-45.9%,1230768,15015374,34806129,5723073,1230768,1230768,0,60000,500000,0,9960000,0,0
33,34,Prime Cars,pc,standard,GROWTH,231381972,42120112,18.2%,189261860,81.8%,65021491,28.1%,560000,0.2%,22000000,9.5%,101680369,43.9%,0,0,101680369,43.9%,5390766,5612303,45304583,6252303,1230768,1230768,0,60000,500000,0,42000000,0,0
33,35,ハッピーパーク,pc,standard,GROWTH,5265612202,4851595352,92.1%,414016850,7.9%,124775256,2.4%,660000,0.0%,0,0.0%,288581594,5.5%,0,0,288581594,5.5%,0,0,100110668,13193831,1230768,1230768,9009221,0,500000,160000,0,4301951598,0
